"fy","month","state","state_abb","plan","plan_abb","gov_type2","return","arr","mva","mean_arr","latest_arr","avg_return","rolling_5","rolling_10","rolling_15"
2018,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.083,0.0738,176794968,0.0789666666666667,0.0725,0.0617780158885981,0.0815580710973816,0.0581900542166474,0.0691533939158817
2019,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.06,0.0738,184625818,0.0789666666666667,0.0725,0.0617780158885981,0.0586066410582311,0.0897617308919114,0.0633605737041667
2020,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.041,0.0738,189844024,0.0789666666666667,0.0725,0.0617780158885981,0.0608581449811441,0.0827902283224362,0.0607564605213662
2021,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.3,0.0738,245047997,0.0789666666666667,0.0725,0.0617780158885981,0.119132142973855,0.0905865216201578,0.0719891187887283
2022,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",-0.06,0.0725,227181866,0.0789666666666667,0.0725,0.0617780158885981,0.0786765848115893,0.0837509810462467,0.0558610438900731
2023,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.076,0.0725,239742591,0.0789666666666667,0.0725,0.0617780158885981,0.0772785545436456,0.0794161919699004,0.0645150071901406
2024,6,"Alaska","AK","Alaska Judicial Retirement System","Alaska Judicial Retirement System","State Plans",0.089,0.0725,253339136,0.0789666666666667,0.0725,0.0617780158885981,0.0831096302693874,0.0707880498013129,0.0875398369202152
2001,6,"Alaska","AK","Alaska Public Employees Retirement System","Alaska PERS","State Plans",-0.0557,0.0825,5796189000,0.0789666666666667,0.0725,0.0570119913260794,NA,NA,NA
2002,6,"Alaska","AK","Alaska Public Employees Retirement System","Alaska PERS","State Plans",-0.0569,0.0825,5323757000,0.0789666666666667,0.0725,0.0570119913260794,NA,NA,NA
2003,6,"Alaska","AK","Alaska Public Employees Retirement System","Alaska PERS","State Plans",0.0318,0.0825,5318390000,0.0789666666666667,0.0725,0.0570119913260794,NA,NA,NA
2004,6,"Alaska","AK","Alaska Public Employees Retirement System","Alaska PERS","State Plans",0.15,0.0825,5880443000,0.0789666666666667,0.0725,0.0570119913260794,NA,NA,NA
2005,6,"Alaska","AK","Alaska Public Employees Retirement System","Alaska PERS","State Plans",0.0855,0.0825,6122064000,0.0789666666666667,0.0725,0.0570119913260794,0.0278226530673789,NA,NA
2006,6,"Alaska","AK","Alaska Public Employees Retirement System","Alaska PERS","State Plans",0.11,0.0825,6568150000,0.0789666666666667,0.0725,0.0570119913260794,0.0615996900664395,NA,NA
